Epoch,Training_Accuracy,Training_Loss,Validation_Accuracy,Validation_Loss,GPU_Utilization(%),GPU_Memory(MB)
1, 0.3935, 1.7027, 0.1186, 4.9781, 0, 15807
2, 0.5671, 1.2076, 0.3480, 2.0461, 23, 15807
3, 0.6500, 0.9988, 0.5663, 1.3168, 57, 15807
4, 0.7034, 0.8588, 0.7119, 0.8403, 17, 15807
5, 0.7354, 0.7666, 0.7003, 0.9275, 64, 15807
6, 0.7610, 0.6989, 0.7108, 0.8819, 53, 15807
7, 0.7810, 0.6403, 0.7864, 0.6411, 48, 15807
8, 0.7985, 0.5898, 0.7714, 0.7045, 65, 15807
9, 0.8110, 0.5584, 0.7669, 0.7263, 52, 15807
10, 0.8230, 0.5226, 0.7784, 0.6897, 60, 15807
11, 0.8331, 0.4941, 0.7801, 0.6799, 52, 15807
12, 0.8405, 0.4694, 0.7962, 0.6479, 53, 15807
13, 0.8481, 0.4475, 0.8055, 0.6389, 54, 15807
14, 0.8575, 0.4223, 0.7991, 0.6360, 61, 15807
15, 0.8617, 0.4057, 0.8165, 0.5818, 18, 15807
16, 0.8673, 0.3882, 0.8084, 0.6264, 55, 15807
17, 0.8744, 0.3740, 0.8164, 0.5792, 64, 15807
18, 0.8795, 0.3573, 0.8117, 0.6195, 53, 15807
19, 0.8810, 0.3507, 0.7870, 0.7540, 60, 15807
20, 0.8863, 0.3334, 0.8247, 0.5670, 57, 15807
21, 0.8904, 0.3209, 0.8213, 0.5854, 53, 15807
22, 0.8927, 0.3132, 0.8252, 0.5652, 58, 15807
23, 0.8955, 0.3077, 0.8279, 0.5632, 34, 15807
24, 0.9012, 0.2901, 0.8022, 0.6858, 61, 15807
25, 0.9051, 0.2847, 0.8363, 0.5527, 58, 15807
26, 0.9079, 0.2734, 0.8141, 0.6617, 55, 15807
27, 0.9112, 0.2625, 0.8226, 0.6161, 57, 15807
28, 0.9141, 0.2538, 0.8378, 0.5860, 52, 15807
29, 0.9133, 0.2530, 0.8336, 0.5894, 53, 15807
30, 0.9177, 0.2451, 0.8289, 0.5853, 55, 15807
31, 0.9209, 0.2358, 0.8295, 0.5869, 60, 15807
32, 0.9191, 0.2351, 0.8401, 0.5471, 23, 15807
33, 0.9246, 0.2239, 0.8347, 0.5878, 61, 15807
34, 0.9261, 0.2197, 0.8078, 0.7227, 57, 15807
35, 0.9277, 0.2123, 0.8373, 0.5967, 55, 15807
36, 0.9284, 0.2092, 0.8249, 0.6540, 55, 15807
37, 0.9310, 0.2031, 0.8362, 0.5928, 56, 15807
38, 0.9330, 0.1960, 0.8327, 0.6056, 59, 15807
39, 0.9330, 0.1984, 0.8398, 0.5781, 61, 15807
40, 0.9361, 0.1895, 0.8362, 0.5885, 64, 15807
