Epoch,Training_Accuracy,Training_Loss,Validation_Accuracy,Validation_Loss,GPU_Utilization(%),GPU_Memory(MB)
0,0.300444454,2.08200717,0.638000011,1.257283211,85,15805
1,0.474000007,1.580501795,0.760500014,0.840530753,88,15805
2,0.567222238,1.338771939,0.809499979,0.688511014,90,15805
0,0.69527775,1.008131385,0.884000003,0.443435371,87,15805
1,0.731833339,0.920036793,0.890500009,0.415908456,89,15805
2,0.76700002,0.835022986,0.898000002,0.365035683,91,15805
3,0.790833354,0.762514055,0.913500011,0.331646889,92,15805
4,0.813166678,0.695010424,0.919499993,0.30165118,93,15805
5,0.828555584,0.643117487,0.924499989,0.279370248,94,15805
6,0.840499997,0.609534919,0.930999994,0.265983939,95,15805
7,0.859388888,0.56141001,0.925499976,0.258880764,96,15805
8,0.870611131,0.512171865,0.930499971,0.249780878,97,15805
9,0.881611109,0.479839236,0.930499971,0.232714325,98,15805
