Epoch,Training_Accuracy,Training_Loss,Validation_Accuracy,Validation_Loss,GPU_Utilization(%),GPU_Memory(MB)
1,0.2017,2.7885,0.28,2.1146,1,15805
2,0.305,2.1678,0.422,1.598,31,15805
3,0.3583,1.9018,0.449,1.5009,21,15805
4,0.4,1.7244,0.4737,1.4446,40,15805
5,0.4362,1.6037,0.5082,1.3962,33,15805
6,0.4664,1.5013,0.5203,1.3756,22,15805
7,0.4942,1.4181,0.533,1.3445,25,15805
8,0.524,1.3362,0.5642,1.1948,21,15805
9,0.5529,1.2592,0.5932,1.1548,39,15805
10,0.5763,1.1911,0.6047,1.1499,39,15805
11,0.5976,1.132,0.602,1.1074,33,15805
12,0.6196,1.0792,0.631,1.0034,33,15805
13,0.6315,1.0381,0.6535,0.9761,24,15805
14,0.6534,0.9861,0.6877,0.8672,41,15805
15,0.6691,0.9486,0.6988,0.8291,24,15805
16,0.6813,0.9142,0.6995,0.8489,26,15805
17,0.6941,0.8817,0.7327,0.7583,14,15805
18,0.7058,0.8514,0.7337,0.7271,38,15805
19,0.714,0.8243,0.7435,0.7144,33,15805
20,0.724,0.7969,0.7575,0.6785,22,15805
21,0.7318,0.7758,0.751,0.6961,42,15805
22,0.7424,0.7478,0.7577,0.6915,11,15805
23,0.7506,0.728,0.772,0.6464,38,15805
24,0.7589,0.7039,0.765,0.6668,54,15805
25,0.7655,0.6899,0.7648,0.6791,47,15805
26,0.7726,0.6677,0.7697,0.6611,49,15805
27,0.7769,0.6487,0.7812,0.6186,32,15805
28,0.7855,0.6286,0.7785,0.6263,52,15805
29,0.7914,0.6091,0.794,0.591,29,15805
30,0.7915,0.6029,0.7947,0.5901,18,15805
31,0.8005,0.582,0.797,0.5842,39,15805
32,0.8049,0.5677,0.791,0.6016,56,15805
33,0.8121,0.5508,0.7983,0.5875,38,15805
34,0.8138,0.5429,0.799,0.5928,8,15805
35,0.8201,0.5302,0.8102,0.5533,36,15805
36,0.8256,0.5157,0.807,0.5738,36,15805
37,0.8294,0.5055,0.8158,0.5675,18,15805
38,0.8306,0.4956,0.8173,0.5504,12,15805
39,0.839,0.4757,0.8123,0.5645,43,15805
40,0.8427,0.4615,0.8112,0.5626,42,15805
